date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disaster_norm,environmental cooperation_norm,environmental government initiatives_norm,environmental security_norm,environmental -999_norm,environmental arrest_norm,human-induced disaster_norm,displacement_norm,-999_norm,environmental legal action_norm,environmental opinion_norm,slow-onset environmental disaster_norm,environmental corruption_norm,environmental crime_norm,environmental legal change_norm,environmental activism_norm,environmental corporate initiatives_norm,lethal environmental violence_norm,environmental protests_norm,nonlethal environmental violence_norm
2012-01-01,2012,1,0,0,2,0,2,0,2,0,3,0,4,4,1,0,0,0,1,0,0,0,18,18,19,1894,0.0,0.0,0.0010559662090813100,0.0,0.0010559662090813100,0.0,0.0010559662090813100,0.0,0.0015839493136219600,0.0,0.0021119324181626200,0.0021119324181626200,0.0005279831045406550,0.0,0.0,0.0,0.0005279831045406550,0.0,0.0,0.0
2012-02-01,2012,2,3,0,1,0,0,0,0,1,1,0,3,1,0,0,0,2,0,0,0,0,11,11,12,1748,0.0017162471395881000,0.0,0.0005720823798627000,0.0,0.0,0.0,0.0,0.0005720823798627000,0.0005720823798627000,0.0,0.0017162471395881000,0.0005720823798627000,0.0,0.0,0.0,0.0011441647597254000,0.0,0.0,0.0,0.0
2012-03-01,2012,3,0,1,3,0,4,0,1,0,3,0,5,5,0,2,0,0,0,0,0,0,22,22,24,1837,0.0,0.0005443658138268920,0.001633097441480680,0.0,0.002177463255307570,0.0,0.0005443658138268920,0.0,0.001633097441480680,0.0,0.0027218290691344600,0.0027218290691344600,0.0,0.0010887316276537800,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,2012,4,0,0,1,0,11,0,5,0,5,1,3,2,0,1,1,0,0,0,1,0,28,28,31,1814,0.0,0.0,0.0005512679162072770,0.0,0.006063947078280040,0.0,0.0027563395810363800,0.0,0.0027563395810363800,0.0005512679162072770,0.0016538037486218300,0.0011025358324145500,0.0,0.0005512679162072770,0.0005512679162072770,0.0,0.0,0.0,0.0005512679162072770,0.0
2012-05-01,2012,5,1,0,0,0,8,0,4,0,4,1,3,0,0,1,1,0,0,0,0,0,19,19,23,1831,0.0005461496450027310,0.0,0.0,0.0,0.004369197160021850,0.0,0.002184598580010920,0.0,0.002184598580010920,0.0005461496450027310,0.0016384489350081900,0.0,0.0,0.0005461496450027310,0.0005461496450027310,0.0,0.0,0.0,0.0,0.0
2012-06-01,2012,6,0,0,3,0,3,0,3,0,3,0,3,1,0,0,0,0,1,0,0,0,17,17,17,1652,0.0,0.0,0.0018159806295399500,0.0,0.0018159806295399500,0.0,0.0018159806295399500,0.0,0.0018159806295399500,0.0,0.0018159806295399500,0.0006053268765133170,0.0,0.0,0.0,0.0,0.0006053268765133170,0.0,0.0,0.0
2012-07-01,2012,7,0,0,2,0,4,0,3,0,2,0,5,3,0,1,0,0,0,0,0,0,17,17,20,1614,0.0,0.0,0.0012391573729863700,0.0,0.0024783147459727400,0.0,0.0018587360594795500,0.0,0.0012391573729863700,0.0,0.0030978934324659200,0.0018587360594795500,0.0,0.0006195786864931850,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,2012,8,4,0,1,0,3,0,0,0,3,0,3,3,0,0,0,0,1,0,0,0,16,16,18,1548,0.002583979328165380,0.0,0.0006459948320413440,0.0,0.001937984496124030,0.0,0.0,0.0,0.001937984496124030,0.0,0.001937984496124030,0.001937984496124030,0.0,0.0,0.0,0.0,0.0006459948320413440,0.0,0.0,0.0
2012-09-01,2012,9,1,0,0,0,4,0,3,0,3,0,6,2,0,1,0,0,0,0,0,0,14,14,20,1544,0.0006476683937823830,0.0,0.0,0.0,0.0025906735751295300,0.0,0.0019430051813471500,0.0,0.0019430051813471500,0.0,0.0038860103626943000,0.0012953367875647700,0.0,0.0006476683937823830,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,2012,10,1,0,2,0,3,0,1,0,5,0,7,2,0,0,1,0,0,0,0,0,18,18,22,1614,0.0006195786864931850,0.0,0.0012391573729863700,0.0,0.0018587360594795500,0.0,0.0006195786864931850,0.0,0.0030978934324659200,0.0,0.004337050805452290,0.0012391573729863700,0.0,0.0,0.0006195786864931850,0.0,0.0,0.0,0.0,0.0
2012-11-01,2012,11,3,0,6,0,12,0,5,0,4,0,7,1,0,0,0,1,0,0,0,0,32,32,39,1711,0.0017533606078316800,0.0,0.0035067212156633500,0.0,0.0070134424313267100,0.0,0.0029222676797194600,0.0,0.0023378141437755700,0.0,0.004091174751607250,0.0005844535359438920,0.0,0.0,0.0,0.0005844535359438920,0.0,0.0,0.0,0.0
2012-12-01,2012,12,1,0,3,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,9,9,10,1719,0.0005817335660267600,0.0,0.0017452006980802800,0.0,0.0005817335660267600,0.0,0.0011634671320535200,0.0,0.0,0.0,0.0011634671320535200,0.0,0.0,0.0,0.0,0.0,0.0005817335660267600,0.0,0.0,0.0
2013-01-01,2013,1,1,0,1,0,3,0,0,0,7,1,1,0,1,1,0,0,0,0,0,0,13,13,16,1586,0.0006305170239596470,0.0,0.0006305170239596470,0.0,0.0018915510718789400,0.0,0.0,0.0,0.004413619167717530,0.0006305170239596470,0.0006305170239596470,0.0,0.0006305170239596470,0.0006305170239596470,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,2013,2,0,0,2,0,3,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,10,10,11,1518,0.0,0.0,0.0013175230566534900,0.0,0.001976284584980240,0.0,0.0006587615283267460,0.0,0.0006587615283267460,0.0,0.0006587615283267460,0.0006587615283267460,0.0,0.0,0.0,0.0006587615283267460,0.0006587615283267460,0.0,0.0,0.0
2013-03-01,2013,3,2,2,1,0,6,0,2,0,9,0,4,0,0,0,1,3,0,0,0,0,29,29,30,1608,0.0012437810945273600,0.0012437810945273600,0.0006218905472636820,0.0,0.0037313432835820900,0.0,0.0012437810945273600,0.0,0.005597014925373130,0.0,0.0024875621890547300,0.0,0.0,0.0,0.0006218905472636820,0.0018656716417910400,0.0,0.0,0.0,0.0
2013-04-01,2013,4,0,0,2,0,2,0,2,0,3,0,1,0,0,0,0,1,1,0,0,1,11,11,13,1721,0.0,0.0,0.0011621150493898900,0.0,0.0011621150493898900,0.0,0.0011621150493898900,0.0,0.0017431725740848300,0.0,0.0005810575246949450,0.0,0.0,0.0,0.0,0.0005810575246949450,0.0005810575246949450,0.0,0.0,0.0005810575246949450
2013-05-01,2013,5,1,1,1,0,7,0,1,0,4,0,9,1,0,0,0,1,1,0,0,0,20,20,27,1765,0.0005665722379603400,0.0005665722379603400,0.0005665722379603400,0.0,0.00396600566572238,0.0,0.0005665722379603400,0.0,0.0022662889518413600,0.0,0.0050991501416430600,0.0005665722379603400,0.0,0.0,0.0,0.0005665722379603400,0.0005665722379603400,0.0,0.0,0.0
2013-06-01,2013,6,0,2,0,0,8,0,1,1,4,0,7,0,0,1,0,0,0,0,0,0,21,21,24,1638,0.0,0.001221001221001220,0.0,0.0,0.004884004884004880,0.0,0.0006105006105006110,0.0006105006105006110,0.002442002442002440,0.0,0.004273504273504270,0.0,0.0,0.0006105006105006110,0.0,0.0,0.0,0.0,0.0,0.0
